customer_id,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CLV,Customer_segment,Next_Best_Action,plan_type
CUST100,340 days,34,6.3,1,1,1,1.0,63.0,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST101,218 days,882,272.94,2,5,5,3.5,2729.4,Average,Re-engagement emails + limited-time discounts,Premium
CUST102,105 days,357,119.06,3,3,4,3.2,1190.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST103,78 days,826,218.49,5,5,5,5.0,2184.9,VIP,Offer exclusive content + loyalty rewards,Premium
CUST104,103 days,72,20.75,3,1,1,2.0,207.5,At Risk,Win-back campaign + survey for feedback,Basic
CUST105,168 days,70,17.53,2,1,1,1.5,175.3,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Premium
CUST106,120 days,38,6.78,2,1,1,1.5,67.8,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST107,104 days,840,217.7,3,5,5,4.0,2177.0,Loyal,Upsell to premium plan + referral program,Standard
CUST108,81 days,560,142.58,5,4,4,4.5,1425.8,Loyal,Upsell to premium plan + referral program,Standard
CUST109,83 days,680,247.25,5,5,5,5.0,2472.5,VIP,Offer exclusive content + loyalty rewards,Premium
CUST110,91 days,61,16.87,4,1,1,2.5,168.7,At Risk,Win-back campaign + survey for feedback,Premium
CUST111,171 days,1380,324.32,2,5,5,3.5,3243.2,Average,Re-engagement emails + limited-time discounts,Premium
CUST112,89 days,1026,319.65,4,5,5,4.5,3196.5,Loyal,Upsell to premium plan + referral program,Premium
CUST113,78 days,185,32.5,5,2,2,3.5,325.0,Average,Re-engagement emails + limited-time discounts,Basic
CUST114,85 days,140,28.36,5,2,2,3.5,283.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST115,218 days,28,6.65,2,1,1,1.5,66.5,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST116,92 days,210,72.75,4,2,3,3.2,727.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST117,224 days,320,79.33,2,3,3,2.5,793.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST118,196 days,266,71.24,2,3,3,2.5,712.4,At Risk,Win-back campaign + survey for feedback,Standard
CUST119,104 days,180,40.34,3,2,2,2.5,403.4,At Risk,Win-back campaign + survey for feedback,Basic
CUST120,80 days,630,152.22,5,4,4,4.5,1522.2,Loyal,Upsell to premium plan + referral program,Standard
CUST121,105 days,63,51.81,3,1,2,2.2,518.1,At Risk,Win-back campaign + survey for feedback,Basic
CUST122,217 days,129,31.71,2,2,2,2.0,317.1,At Risk,Win-back campaign + survey for feedback,Standard
CUST123,254 days,105,30.53,1,2,2,1.5,305.3,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST124,206 days,259,72.3,2,3,3,2.5,723.0,At Risk,Win-back campaign + survey for feedback,Standard
CUST125,105 days,846,368.5,3,5,5,4.0,3685.0,Loyal,Upsell to premium plan + referral program,Standard
CUST126,96 days,180,94.38,4,2,3,3.2,943.8,Average,Re-engagement emails + limited-time discounts,Standard
CUST127,340 days,160,29.99,1,2,2,1.5,299.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST128,187 days,451,132.05,2,4,4,3.0,1320.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST129,79 days,30,6.64,5,1,1,3.0,66.4,Average,Re-engagement emails + limited-time discounts,Basic
CUST130,269 days,280,87.04,1,3,3,2.0,870.4,At Risk,Win-back campaign + survey for feedback,Standard
CUST131,210 days,32,9.94,2,1,1,1.5,99.4,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST132,85 days,66,14.37,5,1,1,3.0,143.7,Average,Re-engagement emails + limited-time discounts,Basic
CUST133,214 days,378,123.65,2,3,4,2.7,1236.5,At Risk,Win-back campaign + survey for feedback,Basic
CUST134,276 days,1120,541.49,1,5,5,3.0,5414.9,Average,Re-engagement emails + limited-time discounts,Premium
CUST135,242 days,700,210.73,1,5,5,3.0,2107.3,Average,Re-engagement emails + limited-time discounts,Premium
CUST136,92 days,357,79.3,4,3,3,3.5,793.0,Average,Re-engagement emails + limited-time discounts,Standard
CUST137,97 days,44,13.75,4,1,1,2.5,137.5,At Risk,Win-back campaign + survey for feedback,Basic
CUST138,420 days,185,32.71,1,2,2,1.5,327.1,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST139,76 days,330,125.46,5,3,4,4.2,1254.6,Loyal,Upsell to premium plan + referral program,Standard
CUST140,76 days,207,48.59,5,2,2,3.5,485.9,Average,Re-engagement emails + limited-time discounts,Premium
CUST141,90 days,240,89.9,4,2,3,3.2,899.0,Average,Re-engagement emails + limited-time discounts,Basic
CUST142,88 days,41,10.15,4,1,1,2.5,101.5,At Risk,Win-back campaign + survey for feedback,Standard
CUST143,182 days,612,133.01,2,4,4,3.0,1330.1,Average,Re-engagement emails + limited-time discounts,Basic
CUST144,275 days,44,16.54,1,1,1,1.0,165.4,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Premium
CUST145,93 days,525,152.16,4,4,4,4.0,1521.6,Loyal,Upsell to premium plan + referral program,Standard
CUST146,102 days,315,79.93,3,3,3,3.0,799.3,Average,Re-engagement emails + limited-time discounts,Standard
CUST147,88 days,492,130.34,4,4,4,4.0,1303.4,Loyal,Upsell to premium plan + referral program,Standard
CUST148,279 days,246,71.81,1,3,3,2.0,718.1,At Risk,Win-back campaign + survey for feedback,Standard
CUST149,211 days,22,6.49,2,1,1,1.5,64.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST150,83 days,483,165.36,5,4,4,4.5,1653.6,Loyal,Upsell to premium plan + referral program,Basic
CUST151,264 days,552,187.35,1,4,5,2.7,1873.5,At Risk,Win-back campaign + survey for feedback,Premium
CUST152,315 days,574,244.31,1,4,5,2.7,2443.1,At Risk,Win-back campaign + survey for feedback,Premium
CUST153,367 days,720,185.36,1,5,5,3.0,1853.6,Average,Re-engagement emails + limited-time discounts,Premium
CUST154,269 days,288,96.05,1,3,3,2.0,960.5,At Risk,Win-back campaign + survey for feedback,Standard
CUST155,82 days,1100,380.03,5,5,5,5.0,3800.3,VIP,Offer exclusive content + loyalty rewards,Premium
CUST156,138 days,30,6.67,2,1,1,1.5,66.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST157,104 days,172,46.63,3,2,2,2.5,466.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST158,110 days,32,12.08,2,1,1,1.5,120.8,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST159,167 days,215,52.23,2,2,2,2.0,522.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST160,247 days,160,43.4,1,2,2,1.5,434.0,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST161,182 days,69,21.05,2,1,1,1.5,210.5,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST162,105 days,874,200.25,3,5,5,4.0,2002.5,Loyal,Upsell to premium plan + referral program,Standard
CUST163,82 days,495,129.96,5,4,4,4.5,1299.6,Loyal,Upsell to premium plan + referral program,Premium
CUST164,269 days,32,10.37,1,1,1,1.0,103.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST165,352 days,116,26.74,1,2,2,1.5,267.4,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST166,93 days,120,20.73,4,2,1,2.8,207.3,At Risk,Win-back campaign + survey for feedback,Basic
CUST167,104 days,612,117.54,3,4,3,3.3,1175.4,Average,Re-engagement emails + limited-time discounts,Basic
