customer_id,subscription_date,last_activity_date,plan_type,monthly_price,total_payment,total_watch_hours,region,total_sessions
CUST100,2024-09-27,2024-10-25,Basic,6.99,6.3,58.7,UK,34
CUST101,2023-08-21,2025-02-24,Premium,15.99,272.94,950.8,US,882
CUST102,2024-01-21,2025-06-17,Basic,6.99,119.06,518.1,India,357
CUST103,2024-04-23,2025-07-14,Premium,15.99,218.49,995.7,US,826
CUST104,2025-02-27,2025-06-19,Basic,6.99,20.75,192.8,France,72
CUST105,2025-02-27,2025-04-15,Premium,15.99,17.53,53.9,France,70
CUST106,2025-05-07,2025-06-02,Basic,6.99,6.78,38.6,UK,38
CUST107,2023-10-19,2025-06-18,Standard,10.99,217.7,1042.2,UK,840
CUST108,2024-04-22,2025-07-11,Standard,10.99,142.58,870.7,UK,560
CUST109,2024-02-07,2025-07-09,Premium,15.99,247.25,1193.8,Germany,680
CUST110,2025-06-02,2025-07-01,Premium,15.99,16.87,64.4,UK,61
CUST111,2023-08-08,2025-04-12,Premium,15.99,324.32,1173.5,US,1380
CUST112,2023-11-12,2025-07-03,Premium,15.99,319.65,1285.5,US,1026
CUST113,2025-01-19,2025-07-14,Basic,6.99,32.5,188.7,Germany,185
CUST114,2025-02-09,2025-07-07,Basic,6.99,28.36,221.5,UK,140
CUST115,2025-02-08,2025-02-24,Basic,6.99,6.65,62.4,US,28
CUST116,2024-11-16,2025-06-30,Standard,10.99,72.75,492.4,US,210
CUST117,2024-06-14,2025-02-18,Standard,10.99,79.33,376.7,US,320
CUST118,2024-08-18,2025-03-18,Standard,10.99,71.24,248.9,France,266
CUST119,2024-11-25,2025-06-18,Basic,6.99,40.34,308.2,UK,180
CUST120,2024-04-14,2025-07-12,Standard,10.99,152.22,843.1,France,630
CUST121,2025-03-11,2025-06-17,Basic,6.99,51.81062014261060,176.1,Germany,63
CUST122,2024-11-24,2025-02-25,Standard,10.99,31.71,134.7,US,129
CUST123,2024-10-03,2025-01-19,Standard,10.99,30.53,128.6,Germany,105
CUST124,2024-08-01,2025-03-08,Standard,10.99,72.3,387.9,US,259
CUST125,2023-12-15,2025-06-17,Standard,10.99,368.5021642768970,808.5,UK,846
CUST126,2025-01-28,2025-06-26,Standard,10.99,94.38104431807560,243.3,Germany,180
CUST127,2024-06-22,2024-10-25,Basic,6.99,29.99,216.5,US,160
CUST128,2024-04-28,2025-03-27,Standard,10.99,132.05,648.9,Germany,451
CUST129,2025-05-15,2025-07-13,Basic,6.99,6.64,57.7,US,30
CUST130,2024-04-17,2025-01-04,Standard,10.99,87.04,395.7,India,280
CUST131,2025-02-17,2025-03-04,Standard,10.99,9.94,49.5,US,32
CUST132,2025-05-02,2025-07-07,Basic,6.99,14.37,119.9,UK,66
CUST133,2023-08-22,2025-02-28,Basic,6.99,123.65,856.1,US,378
CUST134,2023-08-11,2024-12-28,Premium,15.99,541.4941078498820,986.6,France,1120
CUST135,2023-11-29,2025-01-31,Premium,15.99,210.73,695.9,France,700
CUST136,2024-11-15,2025-06-30,Standard,10.99,79.3,379.3,US,357
CUST137,2025-04-09,2025-06-25,Basic,6.99,13.75,89.1,France,44
CUST138,2024-02-24,2024-08-06,Basic,6.99,32.71,236.5,US,185
CUST139,2024-08-12,2025-07-16,Standard,10.99,125.46,774.5,US,330
CUST140,2025-03-23,2025-07-16,Premium,15.99,48.59,143.3,France,207
CUST141,2024-07-05,2025-07-02,Basic,6.99,89.9,703.4,France,240
CUST142,2025-05-23,2025-07-04,Standard,10.99,10.15,64.5,Germany,41
CUST143,2023-09-19,2025-04-01,Basic,6.99,133.01,640.7,France,612
CUST144,2024-12-17,2024-12-29,Premium,15.99,16.54,67.2,UK,44
CUST145,2024-03-10,2025-06-29,Standard,10.99,152.16,638.8,France,525
CUST146,2024-11-10,2025-06-20,Standard,10.99,79.93,278.9,US,315
